miss_id,miss_char,miss_count,created_at,updated_at,user_id
4,y,2,2025-03-27 02:20:21.826494+00,2025-03-27 02:20:21.826503+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
6,m,1,2025-03-27 02:20:21.829156+00,2025-03-27 02:20:21.829164+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
10,e,1,2025-03-27 02:20:21.834455+00,2025-03-27 02:20:21.834464+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
74,l,47,2025-04-02 01:34:06.45692+00,2025-06-09 04:17:31.811542+00,9f27d136-09de-407f-b405-7120b2d55daa
407,l,3,2025-04-07 03:41:08.65921+00,2025-05-27 09:29:48.178224+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
105,r,378,2025-04-02 01:34:13.39121+00,2025-06-12 10:41:33.744127+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
45,i,286,2025-04-02 01:34:05.956778+00,2025-06-13 01:17:25.625432+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
107,s,359,2025-04-02 01:34:13.393836+00,2025-06-12 10:41:33.745436+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
91,m,45,2025-04-02 01:34:09.282694+00,2025-06-11 06:01:53.33924+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
13,i,1490,2025-04-02 01:34:00.542848+00,2025-06-12 06:44:37.582067+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
51,t,182,2025-04-02 01:34:05.965085+00,2025-06-13 01:17:25.627102+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
354,u,13,2025-04-04 00:12:59.862994+00,2025-04-09 00:12:18.734786+00,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2
49,n,241,2025-04-02 01:34:05.962204+00,2025-06-13 01:17:25.628424+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
50,a,466,2025-04-02 01:34:05.963538+00,2025-06-13 01:17:25.629785+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
46,m,65,2025-04-02 01:34:05.958169+00,2025-06-11 06:19:19.383247+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
87,m,73,2025-04-02 01:34:08.651135+00,2025-06-13 00:41:41.493437+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
37,n,33,2025-04-02 01:34:02.724565+00,2025-04-09 08:02:57.291519+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
47,e,254,2025-04-02 01:34:05.959512+00,2025-06-13 01:17:25.632395+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
391,r,57,2025-04-04 08:01:18.476312+00,2025-06-13 00:55:14.381663+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
97,z,23,2025-04-02 01:34:09.291868+00,2025-06-13 00:55:14.383114+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
411,f,27,2025-04-07 07:22:17.211293+00,2025-06-13 00:41:41.496065+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
93,u,92,2025-04-02 01:34:09.285624+00,2025-06-13 00:58:53.653307+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
239,w,121,2025-04-02 01:40:56.712309+00,2025-06-12 09:56:27.275581+00,327e4006-267d-40b0-88bb-2c4e84cefcad
106,t,381,2025-04-02 01:34:13.392529+00,2025-06-12 10:41:33.746739+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
96,w,14,2025-04-02 01:34:09.290525+00,2025-06-12 00:59:29.270156+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
86,b,36,2025-04-02 01:34:08.649786+00,2025-06-12 00:17:15.709696+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
53,r,233,2025-04-02 01:34:05.967761+00,2025-06-13 01:17:25.633676+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
89,t,65,2025-04-02 01:34:09.279447+00,2025-06-13 00:58:53.655013+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
392,g,31,2025-04-04 08:01:18.486862+00,2025-06-12 00:59:29.274128+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
94,y,46,2025-04-02 01:34:09.287093+00,2025-06-13 00:58:53.657631+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
69,e,337,2025-04-02 01:34:06.450217+00,2025-06-12 07:23:10.310517+00,9f27d136-09de-407f-b405-7120b2d55daa
56,j,37,2025-04-02 01:34:05.971814+00,2025-06-13 00:38:51.991707+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
102,a,529,2025-04-02 01:34:13.387069+00,2025-06-12 10:41:33.741019+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
31,t,36,2025-04-02 01:34:02.716546+00,2025-04-08 07:50:04.044828+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
90,i,125,2025-04-02 01:34:09.281311+00,2025-06-13 00:58:53.661499+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
63,a,496,2025-04-02 01:34:06.442149+00,2025-06-12 07:23:10.312156+00,9f27d136-09de-407f-b405-7120b2d55daa
95,o,117,2025-04-02 01:34:09.28918+00,2025-06-13 00:58:53.664099+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
92,n,87,2025-04-02 01:34:09.284042+00,2025-06-13 00:58:53.665372+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
73,t,261,2025-04-02 01:34:06.455574+00,2025-06-12 07:23:10.315068+00,9f27d136-09de-407f-b405-7120b2d55daa
52,o,395,2025-04-02 01:34:05.966424+00,2025-06-13 01:17:25.63505+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
59,w,68,2025-04-02 01:34:05.97584+00,2025-06-13 01:17:25.63635+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
61,i,304,2025-04-02 01:34:06.439447+00,2025-06-12 07:23:10.3164+00,9f27d136-09de-407f-b405-7120b2d55daa
23,x,705,2025-04-02 01:34:00.556436+00,2025-06-12 06:44:37.583412+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
34,e,23,2025-04-02 01:34:02.720536+00,2025-04-08 07:50:04.088792+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
